district,rooms,square_meters,price
Wola,1,29,2300
Bemowo,3,61,3300
Ursynów,3,68,3499
Śródmieście,3,172,40000
PragaPółnoc,2,40,2500
Białołęka,2,40,2200
Bielany,2,48.7,2850
Bemowo,2,30,2750
Białołęka,2,50,2500
Mokotów,3,65,4000
Wilanów,4,66,5900
Mokotów,2,35,3400
Wawer,3,56,3900
Ursus,4,65.25,4500
Wola,2,42,4300
Targówek,3,46,3000
Śródmieście,3,150,35000
PragaPołudnie,5,170,12000
Mokotów,2,40,3300
Ursynów,2,42,2200
Włochy,2,81,6400
Mokotów,2,48.5,4500
Wola,3,59,6000
Bemowo,3,72,4100
Włochy,2,36,3600
Ursynów,3,70,3850
Włochy,2,81,6400
Centrum,3,65,4250
Bielany,2,48,2999
Wilanów,3,93,23000
Mokotów,5,128,9990
Śródmieście,2,44,4230
Śródmieście,1,37,3100
Targówek,1,33,2400
Mokotów,2,41,3860
Ochota,1,18,1700
Ochota,2,49,3500
Mokotów,2,58,3500
Mokotów,2,42,5500
PragaPółnoc,3,50,4500
Bielany,1,28,2100
Wola,3,63,7600
Ursynów,1,28.5,2600
Wola,4,100,6490
Śródmieście,1,39,3500
Wilanów,3,75,6000
Żoliborz,2,45,3300
PragaPołudnie,4,89.29,9000
Mokotów,2,54,3250
Wola,2,48,5000
Białołęka,2,35,2800
Śródmieście,3,75,12500
Wola,2,31,3700
Śródmieście,3,98,12000
Bemowo,3,61,3300
Ursynów,2,50,2900
Wilanów,3,92,6900
Śródmieście,1,35,2800
Śródmieście,2,46,3600
Ursynów,2,46,3300
Mokotów,5,128,9990
Wola,2,45,5000
Mokotów,2,50,3300
Ochota,2,56,5700
Białołęka,2,45,3400
Wilanów,4,153,20000
Wola,3,61.8,4700
Mokotów,2,66.24,4000
Warszawa,1,30,3500
Ochota,2,45,3500
PragaPółnoc,2,49,3000
Białołęka,2,50.5,2750
Wola,2,42,2500
Mokotów,2,43,3900
Śródmieście,2,44,4230
Ochota,2,32,3200
Włochy,1,33,2360
Wola,4,108,12000
Mokotów,3,68,3600
Śródmieście,2,49.8,4000
Bemowo,3,69,5000
Śródmieście,2,53.33,5200
Mokotów,3,85.07,8500
Ochota,4,100,7500
Mokotów,3,89.4,6500
PragaPółnoc,3,61,2500
Wola,2,42,4300
Śródmieście,1,31,2000
Ursynów,2,56,3350
Ursynów,2,55.5,4000
Mokotów,1,32,2100
Włochy,2,42.5,3300
Mokotów,3,66,3800
Mokotów,2,35,3600
Żoliborz,2,50,5000
Ursus,2,40,3000
Śródmieście,2,37,5100
Wola,2,41.56,3000
Wola,2,36,3400
Wilanów,2,43.2,4050
Bielany,3,50,4200
Śródmieście,3,89,5000
Wola,3,48.41,4600
Wola,2,44,3800
Mokotów,2,50,3300
Mokotów,2,40,4300
Wola,1,20.6,3300
Ursynów,3,78.4,5000
PragaPołudnie,1,31,2200
Warszawa,2,50,7500
PragaPołudnie,2,38,3100
Śródmieście,2,44,3500
Ursynów,2,60,3400
Ursynów,2,60,3400
Bemowo,3,61,3300
Białołęka,3,68,4000
Ochota,2,47,3880
Śródmieście,3,95,14500
Włochy,3,48,3800
Włochy,2,36.16,3200
Mokotów,1,32,2100
Targówek,2,46,3500
Bemowo,2,45,3550
PragaPółnoc,2,46,4000
Ursynów,2,54,2700
Bemowo,2,48.5,2450
Warszawa,2,36,7500
PragaPołudnie,4,74,3700
PragaPółnoc,1,27,2200
Włochy,1,20,2700
Bielany,2,42,3300
Wola,2,43,4800
PragaPołudnie,2,42,2500
PragaPołudnie,2,59,4200
PragaPołudnie,2,40,2600
Żoliborz,3,63,9000
Ursus,2,45,3500
Żoliborz,2,50,5000
Bielany,3,73,6000
Targówek,2,43,2600
Śródmieście,2,56,4900
Śródmieście,4,110,6800
Ursynów,3,65,3950
Śródmieście,1,40,2400
Wilanów,2,44,4000
Śródmieście,1,22,2999
PragaPołudnie,2,40,2600
Śródmieście,3,161,40000
Wilanów,3,83,7200
Ursynów,3,60,5000
Bielany,2,52,249990
PragaPołudnie,1,27,3000
Mokotów,3,60,3200
Śródmieście,3,120,10000
Mokotów,3,114,10500
Żoliborz,2,41,2300
Ursynów,2,54,3000
Śródmieście,2,49.8,4000
PragaPołudnie,2,57,3780
Mokotów,4,106.22,7700
Żoliborz,1,31,2400
Mokotów,1,30,3400
Bemowo,5,170,13000
PragaPołudnie,2,38,3100
Mokotów,2,42,5500
Wola,1,30,1800
Wola,1,42,3500
Wola,2,52,3200
Śródmieście,2,38,3700
Wola,2,47,2200
Targówek,2,35,2900
Mokotów,2,54,4250
Mokotów,3,75.35,4000
Mokotów,4,97,8200
Śródmieście,2,54,10000
Włochy,2,38,3300
Bemowo,3,69,5000
Ursus,3,57,3000
Śródmieście,2,66,4000
PragaPołudnie,2,36.99,3500
PragaPołudnie,2,42,2500
Mokotów,2,44,3500
Ursus,1,30,2500
Wilanów,2,64,4850
Bielany,3,66,4600
PragaPółnoc,2,50,8000
Białołęka,1,36,1800
Białołęka,3,68,4000
Ursus,1,30,2500
Mokotów,3,66.06,8490
Mokotów,3,68.71,5000
Ursus,2,40,3500
Włochy,2,34,3999
Ursus,3,70.6,4700
Ochota,1,28,2000
Mokotów,4,145,19500
Śródmieście,6,328,40000
Mokotów,2,50,3600
